County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total
Alameda,14,14,1519,1472,296,38,3353
Alpine,0,0,14,1,0,0,15
Amador,0,0,25,7,8,0,40
Butte,6,0,30,22,16,2,76
Calaveras,0,0,7,0,0,0,7
Colusa,0,0,16,2,10,0,28
Contra Costa,8,0,514,658,168,7,1355
Del Norte,0,0,10,0,20,0,30
El Dorado,1,0,122,6,43,1,173
Fresno,8,0,391,333,175,14,921
Glenn,0,0,4,0,10,0,14
Humboldt,0,0,76,13,22,1,112
Imperial,0,0,8,7,12,0,27
Inyo,0,0,8,3,26,0,37
Kern,4,0,108,60,102,5,279
Kings,0,0,42,60,42,0,144
Lake,0,0,12,3,0,0,15
Lassen,0,0,4,1,0,0,5
Los Angeles,33,46,6560,11694,787,116,19236
Madera,0,0,50,19,44,0,113
Marin,8,0,417,189,87,5,706
Mariposa,0,0,8,0,8,0,16
Mendocino,0,0,104,11,29,0,144
Merced,10,0,52,37,28,3,130
Modoc,0,0,4,0,0,0,4
Mono,0,0,20,0,12,0,32
Monterey,15,0,231,82,93,1,422
Napa,1,0,301,31,39,2,374
Nevada,0,0,47,7,39,0,93
Orange,9,0,2384,2324,487,38,5242
Placer,0,1,133,114,100,3,351
Plumas,0,0,7,0,0,0,7
Riverside,7,0,891,198,359,9,1464
Sacramento,83,6,690,799,192,7,1777
San Benito,0,0,12,10,28,0,50
San Bernardino,3,0,524,470,295,46,1338
San Diego,2,3,1863,4678,287,41,6874
San Francisco,55,3,661,717,53,16,1505
San Joaquin,0,0,129,166,84,10,389
San Luis Obispo,1,0,305,104,82,1,493
San Mateo,2,16,1656,2119,235,42,4070
Santa Barbara,7,0,278,167,39,3,494
Santa Clara,11,20,3181,11599,499,96,15406
Santa Cruz,1,0,133,89,58,0,281
Shasta,0,0,25,58,10,3,96
Sierra,0,0,1,0,0,0,1
Siskiyou,0,0,20,4,39,0,63
Solano,5,0,178,102,83,4,372
Sonoma,14,0,404,231,91,3,743
Stanislaus,0,0,51,41,40,13,145
Sutter,0,0,10,9,12,0,31
Tehama,0,0,5,4,23,0,32
Trinity,0,0,4,0,4,0,8
Tulare,0,0,49,12,32,10,103
Tuolumne,0,0,30,8,9,0,47
Unknown,0,0,0,11,0,0,11
Ventura,6,0,387,312,121,19,845
Yolo,12,0,156,130,26,0,324
Yuba,0,0,9,7,0,0,16
Total,326,109,24880,39201,5404,559,70479
